*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.18um 1P6M Logic Low Leakage Salicide, Dual Voltage (1.8V/5V)
Version: 	1.3
Date: 		2007-06-21
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.418	3.022	8.80E-02	2.70E-02	3.53E-03	2.74E-02	1.17E-02
0.418	4.022	7.90E-02	3.26E-02	3.53E-03	2.09E-02	1.45E-02
0.418	5.022	7.39E-02	3.76E-02	3.53E-03	1.64E-02	1.70E-02
0.418	7.022	6.91E-02	4.55E-02	3.53E-03	1.06E-02	2.10E-02
0.418	10.022	6.67E-02	5.33E-02	3.53E-03	5.92E-03	2.49E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M6-M4 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.418	0.462	2.56E-01	1.40E-02	5.53E-03	1.11E-01	4.26E-03
0.418	0.482	2.48E-01	1.43E-02	5.53E-03	1.07E-01	4.36E-03
0.418	0.582	2.19E-01	1.54E-02	5.53E-03	9.24E-02	4.91E-03
0.418	0.682	1.98E-01	1.64E-02	5.53E-03	8.19E-02	5.43E-03
0.418	0.822	1.76E-01	1.79E-02	5.53E-03	7.13E-02	6.20E-03
0.418	1.022	1.55E-01	2.01E-02	5.53E-03	6.07E-02	7.26E-03
0.418	1.222	1.40E-01	2.22E-02	5.53E-03	5.31E-02	8.33E-03
0.418	1.422	1.29E-01	2.42E-02	5.53E-03	4.74E-02	9.35E-03
0.418	1.622	1.21E-01	2.62E-02	5.53E-03	4.28E-02	1.04E-02
0.418	1.822	1.15E-01	2.83E-02	5.53E-03	3.90E-02	1.14E-02
0.418	2.022	1.09E-01	3.02E-02	5.53E-03	3.58E-02	1.23E-02
0.418	2.522	9.95E-02	3.48E-02	5.53E-03	2.94E-02	1.46E-02
0.418	3.022	9.31E-02	3.91E-02	5.53E-03	2.46E-02	1.68E-02
0.418	4.022	8.57E-02	4.65E-02	5.53E-03	1.79E-02	2.05E-02
0.418	5.022	8.20E-02	5.26E-02	5.53E-03	1.34E-02	2.35E-02
0.418	7.022	7.89E-02	6.12E-02	5.53E-03	7.94E-03	2.78E-02
0.418	10.022	7.77E-02	6.88E-02	5.53E-03	3.84E-03	3.16E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M6-M5 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.418	0.462	2.60E-01	2.89E-02	1.30E-02	1.07E-01	7.95E-03
0.418	0.482	2.53E-01	2.94E-02	1.30E-02	1.04E-01	8.21E-03
0.418	0.582	2.24E-01	3.21E-02	1.30E-02	8.87E-02	9.52E-03
0.418	0.682	2.04E-01	3.45E-02	1.30E-02	7.78E-02	1.08E-02
0.418	0.822	1.83E-01	3.79E-02	1.30E-02	6.66E-02	1.24E-02
0.418	1.022	1.64E-01	4.23E-02	1.30E-02	5.55E-02	1.46E-02
0.418	1.222	1.51E-01	4.67E-02	1.30E-02	4.75E-02	1.68E-02
0.418	1.422	1.42E-01	5.07E-02	1.30E-02	4.14E-02	1.88E-02
0.418	1.622	1.35E-01	5.42E-02	1.30E-02	3.66E-02	2.06E-02
0.418	1.822	1.30E-01	5.78E-02	1.30E-02	3.27E-02	2.24E-02
0.418	2.022	1.26E-01	6.11E-02	1.30E-02	2.94E-02	2.40E-02
0.418	2.522	1.19E-01	6.84E-02	1.30E-02	2.29E-02	2.77E-02
0.418	3.022	1.15E-01	7.46E-02	1.30E-02	1.83E-02	3.08E-02
0.418	4.022	1.11E-01	8.42E-02	1.30E-02	1.20E-02	3.56E-02
0.418	5.022	1.09E-01	9.08E-02	1.30E-02	8.21E-03	3.89E-02
0.418	7.022	1.08E-01	9.88E-02	1.30E-02	4.02E-03	4.29E-02
0.418	10.022	1.08E-01	1.03E-01	1.30E-02	1.82E-03	4.51E-02
------	-------	--------	--------	--------	--------	--------

**********************************
* Layers:	POLY-FIELD_OXIDE *
**********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.171	0.239	1.59E-01	4.29E-02	1.59E-02	5.29E-02	1.35E-02
0.171	0.259	1.53E-01	4.43E-02	1.59E-02	4.94E-02	1.42E-02
0.171	0.309	1.42E-01	4.80E-02	1.59E-02	4.22E-02	1.60E-02
0.171	0.409	1.28E-01	5.46E-02	1.59E-02	3.26E-02	1.93E-02
0.171	0.509	1.21E-01	6.03E-02	1.59E-02	2.62E-02	2.22E-02
0.171	0.609	1.16E-01	6.53E-02	1.59E-02	2.17E-02	2.47E-02
0.171	0.809	1.11E-01	7.34E-02	1.59E-02	1.57E-02	2.87E-02
0.171	1.009	1.08E-01	7.96E-02	1.59E-02	1.19E-02	3.18E-02
0.171	1.209	1.07E-01	8.42E-02	1.59E-02	9.29E-03	3.41E-02
0.171	1.409	1.06E-01	8.78E-02	1.59E-02	7.45E-03	3.59E-02
0.171	1.609	1.06E-01	9.05E-02	1.59E-02	6.11E-03	3.73E-02
0.171	1.809	1.06E-01	9.25E-02	1.59E-02	5.07E-03	3.83E-02
0.171	2.009	1.05E-01	9.42E-02	1.59E-02	4.29E-03	3.91E-02
0.171	2.509	1.05E-01	9.73E-02	1.59E-02	2.99E-03	4.07E-02
0.171	3.009	1.05E-01	9.89E-02	1.59E-02	2.30E-03	4.15E-02
0.171	4.009	1.05E-01	1.01E-01	1.59E-02	1.51E-03	4.25E-02
0.171	5.009	1.05E-01	1.02E-01	1.59E-02	1.11E-03	4.30E-02
0.171	7.009	1.05E-01	1.03E-01	1.59E-02	7.48E-04	4.35E-02
0.171	10.009	1.05E-01	1.04E-01	1.59E-02	5.15E-04	4.38E-02
------	-------	--------	--------	--------	--------	--------

********************************
* Layers:	M1-FIELD_OXIDE *
********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.219	0.222	2.44E-01	1.86E-02	6.56E-03	1.05E-01	6.04E-03
0.219	0.242	2.30E-01	1.92E-02	6.56E-03	9.78E-02	6.32E-03
0.219	0.342	1.83E-01	2.20E-02	6.56E-03	7.35E-02	7.74E-03
0.219	0.442	1.57E-01	2.48E-02	6.56E-03	5.96E-02	9.13E-03
0.219	0.542	1.40E-01	2.74E-02	6.56E-03	5.04E-02	1.04E-02
0.219	0.642	1.28E-01	3.00E-02	6.56E-03	4.38E-02	1.17E-02
0.219	0.812	1.15E-01	3.40E-02	6.56E-03	3.58E-02	1.37E-02
0.219	1.012	1.06E-01	3.84E-02	6.56E-03	2.95E-02	1.59E-02
0.219	1.212	1.00E-01	4.23E-02	6.56E-03	2.49E-02	1.79E-02
0.219	1.412	9.60E-02	4.58E-02	6.56E-03	2.15E-02	1.96E-02
0.219	1.612	9.31E-02	4.91E-02	6.56E-03	1.87E-02	2.13E-02
0.219	1.812	9.10E-02	5.20E-02	6.56E-03	1.65E-02	2.27E-02
0.219	2.012	8.95E-02	5.46E-02	6.56E-03	1.46E-02	2.40E-02
0.219	2.512	8.70E-02	5.98E-02	6.56E-03	1.12E-02	2.66E-02
0.219	3.012	8.58E-02	6.39E-02	6.56E-03	8.86E-03	2.87E-02
0.219	4.012	8.46E-02	6.96E-02	6.56E-03	5.95E-03	3.15E-02
0.219	5.012	8.41E-02	7.31E-02	6.56E-03	4.28E-03	3.33E-02
0.219	7.012	8.39E-02	7.70E-02	6.56E-03	2.63E-03	3.52E-02
0.219	10.012	8.38E-02	7.97E-02	6.56E-03	1.55E-03	3.66E-02
------	-------	--------	--------	--------	--------	--------

******************************************
* Layers:	M1-POLY (on FIELD OXIDE) *
******************************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.219	0.222	2.47E-01	2.97E-02	1.24E-02	1.03E-01	8.66E-03
0.219	0.242	2.33E-01	3.08E-02	1.24E-02	9.53E-02	9.18E-03
0.219	0.342	1.87E-01	3.58E-02	1.24E-02	7.03E-02	1.17E-02
0.219	0.442	1.62E-01	4.06E-02	1.24E-02	5.59E-02	1.41E-02
0.219	0.542	1.46E-01	4.50E-02	1.24E-02	4.63E-02	1.63E-02
0.219	0.642	1.36E-01	4.91E-02	1.24E-02	3.94E-02	1.83E-02
0.219	0.812	1.25E-01	5.53E-02	1.24E-02	3.11E-02	2.15E-02
0.219	1.012	1.18E-01	6.16E-02	1.24E-02	2.45E-02	2.46E-02
0.219	1.212	1.13E-01	6.69E-02	1.24E-02	2.00E-02	2.72E-02
0.219	1.412	1.10E-01	7.14E-02	1.24E-02	1.66E-02	2.95E-02
0.219	1.612	1.09E-01	7.52E-02	1.24E-02	1.40E-02	3.14E-02
0.219	1.812	1.07E-01	7.83E-02	1.24E-02	1.20E-02	3.30E-02
0.219	2.012	1.06E-01	8.11E-02	1.24E-02	1.04E-02	3.43E-02
0.219	2.512	1.05E-01	8.64E-02	1.24E-02	7.60E-03	3.70E-02
0.219	3.012	1.05E-01	9.01E-02	1.24E-02	5.80E-03	3.88E-02
0.219	4.012	1.04E-01	9.43E-02	1.24E-02	3.77E-03	4.10E-02
0.219	5.012	1.04E-01	9.69E-02	1.24E-02	2.72E-03	4.23E-02
0.219	7.012	1.04E-01	9.92E-02	1.24E-02	1.77E-03	4.34E-02
0.219	10.012	1.04E-01	1.01E-01	1.24E-02	1.14E-03	4.43E-02
------	-------	--------	--------	--------	--------	--------

********************************
* Layers:	M2-FIELD_OXIDE *
********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.13E-01	1.26E-02	3.47E-03	9.17E-02	4.54E-03
0.266	0.294	2.03E-01	1.28E-02	3.47E-03	8.67E-02	4.68E-03
0.266	0.394	1.68E-01	1.41E-02	3.47E-03	6.89E-02	5.33E-03
0.266	0.494	1.47E-01	1.54E-02	3.47E-03	5.80E-02	5.97E-03
0.266	0.594	1.32E-01	1.67E-02	3.47E-03	5.05E-02	6.59E-03
0.266	0.694	1.22E-01	1.78E-02	3.47E-03	4.50E-02	7.18E-03
0.266	0.814	1.12E-01	1.92E-02	3.47E-03	4.00E-02	7.84E-03
0.266	1.014	1.01E-01	2.14E-02	3.47E-03	3.40E-02	8.95E-03
0.266	1.214	9.40E-02	2.35E-02	3.47E-03	2.97E-02	9.99E-03
0.266	1.414	8.87E-02	2.54E-02	3.47E-03	2.65E-02	1.10E-02
0.266	1.614	8.47E-02	2.73E-02	3.47E-03	2.39E-02	1.19E-02
0.266	1.814	8.16E-02	2.91E-02	3.47E-03	2.18E-02	1.28E-02
0.266	2.014	7.91E-02	3.08E-02	3.47E-03	2.00E-02	1.37E-02
0.266	2.514	7.48E-02	3.46E-02	3.47E-03	1.65E-02	1.56E-02
0.266	3.014	7.22E-02	3.78E-02	3.47E-03	1.40E-02	1.72E-02
0.266	4.014	6.92E-02	4.32E-02	3.47E-03	1.04E-02	1.99E-02
0.266	5.014	6.77E-02	4.73E-02	3.47E-03	8.09E-03	2.19E-02
0.266	7.014	6.63E-02	5.28E-02	3.47E-03	5.34E-03	2.46E-02
0.266	10.014	6.57E-02	5.76E-02	3.47E-03	3.25E-03	2.71E-02
------	-------	--------	--------	--------	--------	--------

******************************************
* Layers:	M2-POLY (on FIELD OXIDE) *
******************************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.13E-01	1.42E-02	4.34E-03	9.14E-02	4.95E-03
0.266	0.294	2.03E-01	1.46E-02	4.34E-03	8.64E-02	5.11E-03
0.266	0.394	1.68E-01	1.61E-02	4.34E-03	6.86E-02	5.89E-03
0.266	0.494	1.47E-01	1.77E-02	4.34E-03	5.75E-02	6.68E-03
0.266	0.594	1.33E-01	1.92E-02	4.34E-03	5.00E-02	7.44E-03
0.266	0.694	1.22E-01	2.07E-02	4.34E-03	4.44E-02	8.17E-03
0.266	0.814	1.13E-01	2.24E-02	4.34E-03	3.93E-02	9.01E-03
0.266	1.014	1.02E-01	2.51E-02	4.34E-03	3.32E-02	1.04E-02
0.266	1.214	9.52E-02	2.76E-02	4.34E-03	2.88E-02	1.16E-02
0.266	1.414	9.00E-02	3.00E-02	4.34E-03	2.54E-02	1.28E-02
0.266	1.614	8.62E-02	3.22E-02	4.34E-03	2.28E-02	1.39E-02
0.266	1.814	8.34E-02	3.43E-02	4.34E-03	2.06E-02	1.50E-02
0.266	2.014	8.11E-02	3.62E-02	4.34E-03	1.87E-02	1.59E-02
0.266	2.514	7.73E-02	4.05E-02	4.34E-03	1.51E-02	1.81E-02
0.266	3.014	7.49E-02	4.41E-02	4.34E-03	1.26E-02	1.99E-02
0.266	4.014	7.26E-02	4.99E-02	4.34E-03	9.11E-03	2.28E-02
0.266	5.014	7.14E-02	5.38E-02	4.34E-03	6.96E-03	2.48E-02
0.266	7.014	7.05E-02	5.93E-02	4.34E-03	4.43E-03	2.75E-02
0.266	10.014	7.01E-02	6.33E-02	4.34E-03	2.69E-03	2.95E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.15E-01	2.43E-02	9.47E-03	8.94E-02	7.39E-03
0.266	0.294	2.06E-01	2.49E-02	9.47E-03	8.43E-02	7.73E-03
0.266	0.394	1.71E-01	2.83E-02	9.47E-03	6.60E-02	9.40E-03
0.266	0.494	1.51E-01	3.14E-02	9.47E-03	5.46E-02	1.10E-02
0.266	0.594	1.37E-01	3.44E-02	9.47E-03	4.65E-02	1.25E-02
0.266	0.694	1.28E-01	3.73E-02	9.47E-03	4.06E-02	1.39E-02
0.266	0.814	1.19E-01	4.05E-02	9.47E-03	3.51E-02	1.55E-02
0.266	1.014	1.10E-01	4.54E-02	9.47E-03	2.85E-02	1.80E-02
0.266	1.214	1.05E-01	4.97E-02	9.47E-03	2.38E-02	2.01E-02
0.266	1.414	1.01E-01	5.35E-02	9.47E-03	2.03E-02	2.20E-02
0.266	1.614	9.81E-02	5.69E-02	9.47E-03	1.75E-02	2.37E-02
0.266	1.814	9.63E-02	5.99E-02	9.47E-03	1.53E-02	2.52E-02
0.266	2.014	9.50E-02	6.25E-02	9.47E-03	1.35E-02	2.65E-02
0.266	2.514	9.29E-02	6.80E-02	9.47E-03	1.02E-02	2.92E-02
0.266	3.014	9.19E-02	7.20E-02	9.47E-03	7.99E-03	3.13E-02
0.266	4.014	9.09E-02	7.74E-02	9.47E-03	5.30E-03	3.40E-02
0.266	5.014	9.06E-02	8.07E-02	9.47E-03	3.81E-03	3.56E-02
0.266	7.014	9.04E-02	8.43E-02	9.47E-03	2.34E-03	3.74E-02
0.266	10.014	9.03E-02	8.66E-02	9.47E-03	1.45E-03	3.85E-02
------	-------	--------	--------	--------	--------	--------

********************************
* Layers:	M3-FIELD_OXIDE *
********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.13E-01	9.86E-03	2.23E-03	9.20E-02	3.81E-03
0.266	0.294	2.03E-01	1.00E-02	2.23E-03	8.71E-02	3.91E-03
0.266	0.394	1.68E-01	1.10E-02	2.23E-03	6.94E-02	4.36E-03
0.266	0.494	1.46E-01	1.18E-02	2.23E-03	5.86E-02	4.80E-03
0.266	0.594	1.32E-01	1.27E-02	2.23E-03	5.12E-02	5.21E-03
0.266	0.694	1.21E-01	1.34E-02	2.23E-03	4.58E-02	5.60E-03
0.266	0.814	1.11E-01	1.43E-02	2.23E-03	4.09E-02	6.06E-03
0.266	1.014	1.00E-01	1.58E-02	2.23E-03	3.51E-02	6.77E-03
0.266	1.214	9.25E-02	1.71E-02	2.23E-03	3.11E-02	7.46E-03
0.266	1.414	8.69E-02	1.84E-02	2.23E-03	2.80E-02	8.10E-03
0.266	1.614	8.26E-02	1.97E-02	2.23E-03	2.56E-02	8.73E-03
0.266	1.814	7.92E-02	2.09E-02	2.23E-03	2.36E-02	9.34E-03
0.266	2.014	7.64E-02	2.21E-02	2.23E-03	2.19E-02	9.92E-03
0.266	2.514	7.14E-02	2.48E-02	2.23E-03	1.87E-02	1.13E-02
0.266	3.014	6.82E-02	2.72E-02	2.23E-03	1.63E-02	1.25E-02
0.266	4.014	6.41E-02	3.16E-02	2.23E-03	1.30E-02	1.47E-02
0.266	5.014	6.18E-02	3.52E-02	2.23E-03	1.06E-02	1.65E-02
0.266	7.014	5.95E-02	4.08E-02	2.23E-03	7.51E-03	1.93E-02
0.266	10.014	5.83E-02	4.63E-02	2.23E-03	4.88E-03	2.21E-02
------	-------	--------	--------	--------	--------	--------

******************************************
* Layers:	M3-POLY (on FIELD OXIDE) *
******************************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.13E-01	1.05E-02	2.55E-03	9.20E-02	4.00E-03
0.266	0.294	2.03E-01	1.08E-02	2.55E-03	8.70E-02	4.10E-03
0.266	0.394	1.68E-01	1.18E-02	2.55E-03	6.93E-02	4.61E-03
0.266	0.494	1.46E-01	1.27E-02	2.55E-03	5.84E-02	5.10E-03
0.266	0.594	1.32E-01	1.37E-02	2.55E-03	5.10E-02	5.56E-03
0.266	0.694	1.21E-01	1.46E-02	2.55E-03	4.56E-02	6.00E-03
0.266	0.814	1.12E-01	1.56E-02	2.55E-03	4.07E-02	6.52E-03
0.266	1.014	1.00E-01	1.72E-02	2.55E-03	3.48E-02	7.33E-03
0.266	1.214	9.28E-02	1.87E-02	2.55E-03	3.07E-02	8.08E-03
0.266	1.414	8.73E-02	2.02E-02	2.55E-03	2.76E-02	8.84E-03
0.266	1.614	8.31E-02	2.17E-02	2.55E-03	2.51E-02	9.56E-03
0.266	1.814	7.97E-02	2.30E-02	2.55E-03	2.31E-02	1.02E-02
0.266	2.014	7.70E-02	2.43E-02	2.55E-03	2.14E-02	1.09E-02
0.266	2.514	7.22E-02	2.73E-02	2.55E-03	1.81E-02	1.24E-02
0.266	3.014	6.91E-02	3.01E-02	2.55E-03	1.57E-02	1.38E-02
0.266	4.014	6.53E-02	3.48E-02	2.55E-03	1.22E-02	1.61E-02
0.266	5.014	6.33E-02	3.86E-02	2.55E-03	9.83E-03	1.80E-02
0.266	7.014	6.13E-02	4.44E-02	2.55E-03	6.82E-03	2.09E-02
0.266	10.014	6.03E-02	4.97E-02	2.55E-03	4.32E-03	2.36E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.13E-01	1.29E-02	3.72E-03	9.16E-02	4.60E-03
0.266	0.294	2.03E-01	1.32E-02	3.72E-03	8.66E-02	4.74E-03
0.266	0.394	1.68E-01	1.46E-02	3.72E-03	6.89E-02	5.44E-03
0.266	0.494	1.47E-01	1.59E-02	3.72E-03	5.79E-02	6.12E-03
0.266	0.594	1.32E-01	1.72E-02	3.72E-03	5.04E-02	6.76E-03
0.266	0.694	1.22E-01	1.85E-02	3.72E-03	4.48E-02	7.37E-03
0.266	0.814	1.12E-01	1.99E-02	3.72E-03	3.98E-02	8.10E-03
0.266	1.014	1.02E-01	2.23E-02	3.72E-03	3.38E-02	9.28E-03
0.266	1.214	9.42E-02	2.44E-02	3.72E-03	2.95E-02	1.04E-02
0.266	1.414	8.89E-02	2.65E-02	3.72E-03	2.62E-02	1.14E-02
0.266	1.614	8.49E-02	2.85E-02	3.72E-03	2.36E-02	1.24E-02
0.266	1.814	8.19E-02	3.04E-02	3.72E-03	2.15E-02	1.33E-02
0.266	2.014	7.95E-02	3.21E-02	3.72E-03	1.97E-02	1.42E-02
0.266	2.514	7.54E-02	3.60E-02	3.72E-03	1.61E-02	1.61E-02
0.266	3.014	7.28E-02	3.94E-02	3.72E-03	1.36E-02	1.78E-02
0.266	4.014	6.99E-02	4.49E-02	3.72E-03	1.01E-02	2.06E-02
0.266	5.014	6.85E-02	4.90E-02	3.72E-03	7.79E-03	2.26E-02
0.266	7.014	6.74E-02	5.46E-02	3.72E-03	5.11E-03	2.54E-02
0.266	10.014	6.68E-02	5.91E-02	3.72E-03	3.09E-03	2.77E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M2 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.15E-01	2.42E-02	9.47E-03	8.94E-02	7.36E-03
0.266	0.294	2.06E-01	2.49E-02	9.47E-03	8.43E-02	7.70E-03
0.266	0.394	1.71E-01	2.81E-02	9.47E-03	6.60E-02	9.34E-03
0.266	0.494	1.51E-01	3.13E-02	9.47E-03	5.45E-02	1.09E-02
0.266	0.594	1.37E-01	3.43E-02	9.47E-03	4.65E-02	1.24E-02
0.266	0.694	1.27E-01	3.71E-02	9.47E-03	4.06E-02	1.38E-02
0.266	0.814	1.19E-01	4.03E-02	9.47E-03	3.51E-02	1.54E-02
0.266	1.014	1.10E-01	4.52E-02	9.47E-03	2.86E-02	1.79E-02
0.266	1.214	1.04E-01	4.95E-02	9.47E-03	2.39E-02	2.00E-02
0.266	1.414	1.01E-01	5.33E-02	9.47E-03	2.03E-02	2.19E-02
0.266	1.614	9.81E-02	5.66E-02	9.47E-03	1.76E-02	2.36E-02
0.266	1.814	9.62E-02	5.96E-02	9.47E-03	1.54E-02	2.51E-02
0.266	2.014	9.48E-02	6.23E-02	9.47E-03	1.35E-02	2.64E-02
0.266	2.514	9.28E-02	6.78E-02	9.47E-03	1.02E-02	2.92E-02
0.266	3.014	9.17E-02	7.17E-02	9.47E-03	8.05E-03	3.11E-02
0.266	4.014	9.08E-02	7.72E-02	9.47E-03	5.36E-03	3.38E-02
0.266	5.014	9.05E-02	8.06E-02	9.47E-03	3.86E-03	3.56E-02
0.266	7.014	9.02E-02	8.42E-02	9.47E-03	2.37E-03	3.74E-02
0.266	10.014	9.02E-02	8.65E-02	9.47E-03	1.45E-03	3.85E-02
------	-------	--------	--------	--------	--------	--------

********************************
* Layers:	M4-FIELD_OXIDE *
********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.13E-01	8.42E-03	1.64E-03	9.23E-02	3.39E-03
0.266	0.294	2.03E-01	8.57E-03	1.64E-03	8.73E-02	3.46E-03
0.266	0.394	1.67E-01	9.29E-03	1.64E-03	6.97E-02	3.82E-03
0.266	0.494	1.46E-01	9.96E-03	1.64E-03	5.89E-02	4.16E-03
0.266	0.594	1.31E-01	1.06E-02	1.64E-03	5.15E-02	4.47E-03
0.266	0.694	1.21E-01	1.11E-02	1.64E-03	4.61E-02	4.75E-03
0.266	0.814	1.11E-01	1.18E-02	1.64E-03	4.13E-02	5.09E-03
0.266	1.014	9.97E-02	1.29E-02	1.64E-03	3.56E-02	5.62E-03
0.266	1.214	9.20E-02	1.39E-02	1.64E-03	3.17E-02	6.12E-03
0.266	1.414	8.62E-02	1.49E-02	1.64E-03	2.87E-02	6.61E-03
0.266	1.614	8.18E-02	1.58E-02	1.64E-03	2.64E-02	7.06E-03
0.266	1.814	7.83E-02	1.66E-02	1.64E-03	2.45E-02	7.48E-03
0.266	2.014	7.54E-02	1.75E-02	1.64E-03	2.29E-02	7.91E-03
0.266	2.514	7.00E-02	1.95E-02	1.64E-03	1.99E-02	8.95E-03
0.266	3.014	6.66E-02	2.14E-02	1.64E-03	1.77E-02	9.89E-03
0.266	4.014	6.18E-02	2.50E-02	1.64E-03	1.45E-02	1.17E-02
0.266	5.014	5.90E-02	2.80E-02	1.64E-03	1.23E-02	1.32E-02
0.266	7.014	5.59E-02	3.33E-02	1.64E-03	9.15E-03	1.59E-02
0.266	10.014	5.39E-02	3.89E-02	1.64E-03	6.23E-03	1.86E-02
------	-------	--------	--------	--------	--------	--------

******************************************
* Layers:	M4-POLY (on FIELD OXIDE) *
******************************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.266	0.274	2.13E-01	8.81E-03	1.81E-03	9.22E-02	3.50E-03
0.266	0.294	2.03E-01	8.97E-03	1.81E-03	8.72E-02	3.58E-03
0.266	0.394	1.68E-01	9.71E-03	1.81E-03	6.96E-02	3.95E-03
0.266	0.494	1.46E-01	1.04E-02	1.81E-03	5.88E-02	4.31E-03
0.266	0.594	1.31E-01	1.11E-02	1.81E-03	5.14E-02	4.65E-03
0.266	0.694	1.21E-01	1.17E-02	1.81E-03	4.60E-02	4.97E-03
0.266	0.814	1.11E-01	1.25E-02	1.81E-03	4.12E-02	5.34E-03
0.266	1.014	9.99E-02	1.37E-02	1.81E-03	3.55E-02	5.92E-03
0.266	1.214	9.21E-02	1.48E-02	1.81E-03	3.15E-02	6.47E-03
0.266	1.414	8.64E-02	1.58E-02	1.81E-03	2.85E-02	7.01E-03
0.266	1.614	8.20E-02	1.68E-02	1.81E-03	2.61E-02	7.48E-03
0.266	1.814	7.85E-02	1.77E-02	1.81E-03	2.42E-02	7.96E-03
0.266	2.014	7.56E-02	1.87E-02	1.81E-03	2.27E-02	8.44E-03
0.266	2.514	7.04E-02	2.10E-02	1.81E-03	1.96E-02	9.57E-03
0.266	3.014	6.70E-02	2.30E-02	1.81E-03	1.74E-02	1.06E-02
0.266	4.014	6.24E-02	2.68E-02	1.81E-03	1.41E-02	1.25E-02
0.266	5.014	5.97E-02	3.01E-02	1.81E-03	1.18E-02	1.41E-02
