*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.18um 1P6M Logic Low Leakage Salicide, Dual Voltage (1.8V/5V)
Version: 	1.3
Date: 		2007-06-21
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.29E-01	1.47E-02	4.89E-03	9.91E-02	4.92E-03
0.280	0.280	2.18E-01	1.51E-02	4.89E-03	9.33E-02	5.10E-03
0.280	0.380	1.78E-01	1.68E-02	4.89E-03	7.32E-02	5.96E-03
0.280	0.480	1.54E-01	1.85E-02	4.89E-03	6.09E-02	6.80E-03
0.280	0.580	1.39E-01	2.01E-02	4.89E-03	5.26E-02	7.61E-03
0.280	0.680	1.27E-01	2.17E-02	4.89E-03	4.65E-02	8.40E-03
0.280	0.800	1.17E-01	2.35E-02	4.89E-03	4.10E-02	9.31E-03
0.280	1.000	1.06E-01	2.64E-02	4.89E-03	3.44E-02	1.08E-02
0.280	1.200	9.83E-02	2.91E-02	4.89E-03	2.97E-02	1.21E-02
0.280	1.400	9.29E-02	3.16E-02	4.89E-03	2.61E-02	1.34E-02
0.280	1.600	8.89E-02	3.40E-02	4.89E-03	2.33E-02	1.46E-02
0.280	1.800	8.59E-02	3.62E-02	4.89E-03	2.10E-02	1.57E-02
0.280	2.000	8.36E-02	3.83E-02	4.89E-03	1.90E-02	1.67E-02
0.280	2.500	7.97E-02	4.27E-02	4.89E-03	1.53E-02	1.89E-02
0.280	3.000	7.73E-02	4.65E-02	4.89E-03	1.26E-02	2.08E-02
0.280	4.000	7.49E-02	5.24E-02	4.89E-03	9.03E-03	2.38E-02
0.280	5.000	7.38E-02	5.66E-02	4.89E-03	6.80E-03	2.59E-02
0.280	7.000	7.29E-02	6.20E-02	4.89E-03	4.32E-03	2.85E-02
0.280	10.000	7.26E-02	6.60E-02	4.89E-03	2.60E-03	3.06E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.32E-01	2.64E-02	1.11E-02	9.68E-02	7.63E-03
0.280	0.280	2.21E-01	2.71E-02	1.11E-02	9.09E-02	8.01E-03
0.280	0.380	1.82E-01	3.08E-02	1.11E-02	7.02E-02	9.85E-03
0.280	0.480	1.59E-01	3.43E-02	1.11E-02	5.74E-02	1.16E-02
0.280	0.580	1.44E-01	3.76E-02	1.11E-02	4.86E-02	1.32E-02
0.280	0.680	1.34E-01	4.07E-02	1.11E-02	4.21E-02	1.48E-02
0.280	0.800	1.25E-01	4.42E-02	1.11E-02	3.62E-02	1.65E-02
0.280	1.000	1.15E-01	4.95E-02	1.11E-02	2.92E-02	1.92E-02
0.280	1.200	1.10E-01	5.41E-02	1.11E-02	2.42E-02	2.15E-02
0.280	1.400	1.06E-01	5.82E-02	1.11E-02	2.05E-02	2.36E-02
0.280	1.600	1.03E-01	6.18E-02	1.11E-02	1.76E-02	2.54E-02
0.280	1.800	1.01E-01	6.49E-02	1.11E-02	1.53E-02	2.69E-02
0.280	2.000	9.99E-02	6.77E-02	1.11E-02	1.34E-02	2.83E-02
0.280	2.500	9.79E-02	7.33E-02	1.11E-02	1.01E-02	3.11E-02
0.280	3.000	9.69E-02	7.75E-02	1.11E-02	7.84E-03	3.32E-02
0.280	4.000	9.61E-02	8.29E-02	1.11E-02	5.16E-03	3.59E-02
0.280	5.000	9.57E-02	8.62E-02	1.11E-02	3.70E-03	3.76E-02
0.280	7.000	9.55E-02	8.97E-02	1.11E-02	2.27E-03	3.93E-02
0.280	10.000	9.55E-02	9.18E-02	1.11E-02	1.43E-03	4.04E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.29E-01	1.05E-02	2.69E-03	9.98E-02	3.89E-03
0.280	0.280	2.17E-01	1.07E-02	2.69E-03	9.41E-02	4.00E-03
0.280	0.380	1.77E-01	1.17E-02	2.69E-03	7.40E-02	4.51E-03
0.280	0.480	1.53E-01	1.27E-02	2.69E-03	6.20E-02	5.00E-03
0.280	0.580	1.37E-01	1.36E-02	2.69E-03	5.38E-02	5.46E-03
0.280	0.680	1.26E-01	1.45E-02	2.69E-03	4.79E-02	5.91E-03
0.280	0.800	1.16E-01	1.55E-02	2.69E-03	4.26E-02	6.42E-03
0.280	1.000	1.04E-01	1.71E-02	2.69E-03	3.64E-02	7.23E-03
0.280	1.200	9.54E-02	1.87E-02	2.69E-03	3.20E-02	8.00E-03
0.280	1.400	8.96E-02	2.02E-02	2.69E-03	2.87E-02	8.76E-03
0.280	1.600	8.51E-02	2.17E-02	2.69E-03	2.61E-02	9.49E-03
0.280	1.800	8.16E-02	2.30E-02	2.69E-03	2.40E-02	1.02E-02
0.280	2.000	7.87E-02	2.44E-02	2.69E-03	2.22E-02	1.08E-02
0.280	2.500	7.36E-02	2.73E-02	2.69E-03	1.87E-02	1.23E-02
0.280	3.000	7.04E-02	3.02E-02	2.69E-03	1.62E-02	1.37E-02
0.280	4.000	6.64E-02	3.49E-02	2.69E-03	1.26E-02	1.61E-02
0.280	5.000	6.42E-02	3.88E-02	2.69E-03	1.02E-02	1.81E-02
0.280	7.000	6.20E-02	4.46E-02	2.69E-03	7.02E-03	2.10E-02
0.280	10.000	6.11E-02	5.02E-02	2.69E-03	4.45E-03	2.38E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M3-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.29E-01	1.08E-02	2.84E-03	9.97E-02	3.96E-03
0.280	0.280	2.17E-01	1.10E-02	2.84E-03	9.40E-02	4.08E-03
0.280	0.380	1.77E-01	1.21E-02	2.84E-03	7.40E-02	4.61E-03
0.280	0.480	1.53E-01	1.31E-02	2.84E-03	6.19E-02	5.12E-03
0.280	0.580	1.37E-01	1.41E-02	2.84E-03	5.37E-02	5.61E-03
0.280	0.680	1.26E-01	1.50E-02	2.84E-03	4.78E-02	6.07E-03
0.280	0.800	1.16E-01	1.61E-02	2.84E-03	4.26E-02	6.63E-03
0.280	1.000	1.04E-01	1.78E-02	2.84E-03	3.62E-02	7.47E-03
0.280	1.200	9.56E-02	1.94E-02	2.84E-03	3.18E-02	8.28E-03
0.280	1.400	8.98E-02	2.10E-02	2.84E-03	2.85E-02	9.07E-03
0.280	1.600	8.53E-02	2.25E-02	2.84E-03	2.59E-02	9.84E-03
0.280	1.800	8.18E-02	2.40E-02	2.84E-03	2.38E-02	1.06E-02
0.280	2.000	7.90E-02	2.53E-02	2.84E-03	2.20E-02	1.13E-02
0.280	2.500	7.40E-02	2.85E-02	2.84E-03	1.85E-02	1.28E-02
0.280	3.000	7.07E-02	3.14E-02	2.84E-03	1.59E-02	1.43E-02
0.280	4.000	6.69E-02	3.63E-02	2.84E-03	1.23E-02	1.67E-02
0.280	5.000	6.48E-02	4.02E-02	2.84E-03	9.83E-03	1.87E-02
0.280	7.000	6.28E-02	4.61E-02	2.84E-03	6.74E-03	2.16E-02
0.280	10.000	6.19E-02	5.16E-02	2.84E-03	4.22E-03	2.44E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.29E-01	1.34E-02	4.20E-03	9.93E-02	4.60E-03
0.280	0.280	2.17E-01	1.37E-02	4.20E-03	9.36E-02	4.75E-03
0.280	0.380	1.78E-01	1.52E-02	4.20E-03	7.35E-02	5.49E-03
0.280	0.480	1.54E-01	1.66E-02	4.20E-03	6.12E-02	6.20E-03
0.280	0.580	1.38E-01	1.80E-02	4.20E-03	5.30E-02	6.90E-03
0.280	0.680	1.27E-01	1.93E-02	4.20E-03	4.70E-02	7.57E-03
0.280	0.800	1.17E-01	2.09E-02	4.20E-03	4.15E-02	8.36E-03
0.280	1.000	1.05E-01	2.35E-02	4.20E-03	3.51E-02	9.63E-03
0.280	1.200	9.73E-02	2.58E-02	4.20E-03	3.05E-02	1.08E-02
0.280	1.400	9.16E-02	2.80E-02	4.20E-03	2.69E-02	1.19E-02
0.280	1.600	8.75E-02	3.01E-02	4.20E-03	2.42E-02	1.29E-02
0.280	1.800	8.43E-02	3.21E-02	4.20E-03	2.19E-02	1.39E-02
0.280	2.000	8.18E-02	3.38E-02	4.20E-03	2.00E-02	1.48E-02
0.280	2.500	7.76E-02	3.80E-02	4.20E-03	1.63E-02	1.69E-02
0.280	3.000	7.50E-02	4.16E-02	4.20E-03	1.36E-02	1.87E-02
0.280	4.000	7.22E-02	4.73E-02	4.20E-03	1.00E-02	2.16E-02
0.280	5.000	7.08E-02	5.16E-02	4.20E-03	7.69E-03	2.37E-02
0.280	7.000	6.97E-02	5.73E-02	4.20E-03	4.98E-03	2.65E-02
0.280	10.000	6.91E-02	6.18E-02	4.20E-03	2.97E-03	2.88E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M2 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
